,NAME,Experiment,Source,Treatment,Time,Block,pH,"EC
(us/cm)","TOC
(mg/L)","TN
(mg/L)","Sodium
(ppm)","Lithium
(ppm)","Ammonium
(ppm)","Potassium
(ppm)","Magnesium
(ppm)","Calcium
(ppm)","Flouride
(ppm)","Chloride
(ppm)","Nitrite
(ppm)","Bromide
(ppm)","Nitrate
(ppm)","Sulfate
(ppm)","Phosphate
(ppm)",FlowerDW,BudDW,ShootDW,RootDW,TotalShoot,RootTOShoot
L18,L18,Fertilizer,peat based media,25,1,3,7.135,304.7,104.5,12.95,n.a.,n.a.,n.a.,n.a.,n.a.,2.7,1.28,4.35,n.a.,n.a.,52.17,55.27,7.26,,,2.251,0.443,2.251,0.196801422
L19,L19,Fertilizer,peat based media,100,1,4,6.441,726.7,92.51,85.95,n.a.,n.a.,n.a.,24.11,n.a.,32.67,1.01,4.18,n.a.,n.a.,394.7,47.48,42.95,,,1.96,0.435,1.96,0.221938776
L20,L20,Fertilizer,peat based media,25,2,4,7.32,111.1,73.63,3.19,0.36,11.12,n.a.,12.23,7.5,41.75,0.68,4.74,n.a.,n.a.,1.75,2.75,0.38,2.079,0.851,8.799,1.619,11.729,0.138033933
L21,L21,Fertilizer,peat based media,200,2,4,6.77,403.8,65.64,34.86,0.36,17.12,n.a.,63.32,10.37,48.58,0.67,8.65,n.a.,0.24,157.52,2.09,25.42,1.712,0.458,11.398,2.038,13.568,0.150206368
L22,L22,Fertilizer,peat based media,100,2,4,6.832,308.6,70.64,27.57,0.36,13.25,n.a.,32.56,11.59,54.79,0.75,4.84,n.a.,n.a.,124.52,1.67,11.54,1.338,1.615,13.654,3.165,16.607,0.190582285
L23,L23,Fertilizer,peat based media,200,1,4,6.299,1219,92.09,130.1,n.a.,0.08,n.a.,44.64,0.14,51.59,1.04,6.23,n.a.,n.a.,606.82,40.37,50.3,,,1.961,0.381,1.961,0.194288628
L24,L24,Fertilizer,peat based media,25,1,4,7.085,199.3,102.7,6.09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.44,3.36,n.a.,n.a.,15.25,33.62,8.36,,,2.298,0.5,2.298,0.217580505
L25,L25,Fertilizer,peat based media,200,2,5,6.657,376.7,60.69,30.97,0.36,17.43,n.a.,59.27,10.32,46.23,0.59,8.42,n.a.,n.a.,137.44,2.74,28.17,1.442,0.705,12.526,2.086,14.673,0.142165883
L26,L26,Fertilizer,peat based media,25,1,5,6.87,254.2,94.88,11.16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.23,3.48,n.a.,n.a.,42.72,37.68,8.28,,,1.903,0.385,1.903,0.202312139
L27,L27,Fertilizer,peat based media,100,2,5,6.825,289.3,45.92,25.81,0.36,9.86,n.a.,49.17,9.87,46.46,0.65,4.54,n.a.,n.a.,118.28,1.58,15.91,1.283,0.461,12.093,2.064,13.837,0.149165281
L28,L28,Fertilizer,peat based media,100,1,5,6.416,907.4,82.05,85.43,n.a.,n.a.,n.a.,22.99,n.a.,28.28,1.1,3.71,n.a.,n.a.,399.71,20.07,38.32,,,2.002,0.41,2.002,0.204795205
L29,L29,Fertilizer,peat based media,200,1,5,6.266,1628,93.71,165.5,n.a.,0.1,n.a.,58.34,3.39,66.52,1.09,6.76,n.a.,n.a.,760.22,36.23,57.16,,,1.687,0.418,1.687,0.247777119
L30,L30,Fertilizer,peat based media,25,2,5,7.255,119,69.38,2.85,0.36,9.55,n.a.,13.44,7.26,42.05,0.64,3.76,n.a.,0.24,1.36,1.03,1.09,1.957,0.92,8.457,1.73,11.334,0.15263808
L31,L31,Fertilizer,peat based media,200,2,6,6.468,534.8,45.67,47.07,0.36,17.25,n.a.,61.73,13.72,58.71,0.62,7.03,n.a.,n.a.,219.77,1.51,31.67,1.64,0.951,13.396,2.01,15.987,0.125727153
L32,L32,Fertilizer,peat based media,25,1,6,7.03,194.9,85.85,6.89,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.33,4.45,n.a.,n.a.,20.1,27.43,5.64,,,2.491,0.6,2.491,0.240867122
L33,L33,Fertilizer,peat based media,25,2,6,7.191,173.3,113.9,3.55,0.36,11.38,n.a.,18.08,7.69,52.48,0.73,4.01,n.a.,n.a.,0.57,2.58,0.38,1.516,0.509,11.598,2.681,13.623,0.19679953
L34,L34,Fertilizer,peat based media,100,1,6,6.469,831.1,67.2,80.3,n.a.,n.a.,n.a.,22.02,n.a.,20.79,1.06,3.95,n.a.,n.a.,351.58,21.52,40.47,,,1.471,0.331,1.471,0.225016995
L35,L35,Fertilizer,peat based media,200,1,6,6.189,1648,84.86,167.6,n.a.,0.24,n.a.,63.67,2.03,60.13,1.03,7.88,n.a.,n.a.,749.87,29.23,63.43,,,1.764,0.386,1.764,0.218820862
L36,L36,Fertilizer,peat based media,100,2,6,6.664,353.3,46.8,28.02,0.36,9.38,n.a.,53.6,10.4,48.5,0.77,3.62,n.a.,n.a.,130.18,1.31,18.63,1.513,0.709,12.396,1.834,14.618,0.125461759
LP1,LP1,Fertilizer,community standard,community standard,community standard,community standard,,,,,,,,,,,,,,,,,,,,,,,
